timestamp,fps,lane_confidence,target_x,risk,steering,throttle,state,armed
1786509458.923741,13.128609304258553,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509458.994328,13.228168993251746,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.0661883,13.413531455601245,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.14043,13.487357657200112,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.2122376,13.51179861552134,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.2907817,13.597912946835963,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.367314,13.37353385896036,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.4376075,13.332576521313694,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.5082073,13.54746749083493,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.585653,13.633126008336788,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.6550937,13.507360791428557,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.7219234,13.716786924265442,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.78585,13.964869101362245,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.8489559,14.276626142682929,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.911812,14.589056206315975,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509459.9738905,14.852995614203778,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509460.0347366,15.122412188589793,0.0,26.046905346914173,0.0,1.0,0.11,avoid:white,1
1786509460.0927763,15.39706289540821,0.0,21.02250417130358,0.0,1.0,0.11,avoid:white,1
1786509460.1494863,15.770392896198196,0.0,5.064147157191599,0.0,1.0,0.11,avoid:white,1
1786509460.2052886,16.098015167517342,0.0,5.824561403511524,0.0,1.0,0.11,avoid:white,1
1786509460.2600584,16.47269701977803,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509460.3185654,16.863653061032572,0.0,223.0,0.0,1.0,0.11,avoid:white,1
1786509460.3761702,16.88509560050094,0.0,223.0,0.0,1.0,0.11,avoid:white,1
1786509460.432401,16.9833208982476,0.0,223.0,0.0,1.0,0.11,avoid:white,1
1786509460.4887924,17.164251594230556,0.0,222.59929435483878,0.0,1.0,0.11,avoid:white,1
1786509460.5461032,17.255565580166124,0.0,223.0,0.0,1.0,0.11,avoid:white,1
1786509460.6032238,17.318946730521233,0.0,222.19153225806457,0.0,1.0,0.11,avoid:white,1
1786509460.6655884,17.30929450027203,0.0,221.75329912023477,0.0,1.0,0.11,avoid:white,1
1786509460.7394788,17.09488515078435,0.0,221.95197947214115,0.0,1.0,0.11,avoid:white,0
1786509460.7987397,16.381162463089282,0.0,221.3950980392155,0.0,1.0,0.11,avoid:white,0
1786509460.85582,16.45418134662831,0.0,220.39355742296897,0.0,1.0,0.11,avoid:white,0
1786509460.9158032,16.69758074105335,0.0,220.95225362872463,0.0,1.0,0.11,avoid:white,0
1786509460.9759665,16.61350648719107,0.0,220.2495798319327,0.0,1.0,0.11,avoid:white,0
1786509461.0335362,16.599660822370247,0.0,219.9896358543416,0.0,1.0,0.11,avoid:white,0
1786509461.0902538,16.864300124616708,0.0,219.74478764478732,0.0,1.0,0.11,avoid:white,0
1786509461.1499763,16.97137714900083,0.0,219.2312324929971,0.0,1.0,0.11,avoid:white,0
1786509461.2113886,16.850476429749044,0.0,219.15020888867633,0.0,1.0,0.11,avoid:white,0
1786509461.269527,16.829977268747655,0.0,218.83083503671776,0.0,1.0,0.11,avoid:white,0
1786509461.3276536,16.928090325294132,0.0,218.73996298377114,0.0,1.0,0.11,avoid:white,0
1786509461.3866537,16.919962963325446,0.0,218.22612664717934,0.0,1.0,0.11,avoid:white,0
1786509461.4457817,16.969973509143813,0.0,218.03589014115323,0.0,1.0,0.11,avoid:white,0
1786509461.5046558,16.937097331102976,0.0,217.80051154393232,0.0,1.0,0.11,avoid:white,0
1786509461.5633638,16.890647541235595,0.0,217.5023472173665,0.0,1.0,0.11,avoid:white,0
1786509461.6233134,16.888479519487333,0.0,217.2893896167322,0.0,1.0,0.11,avoid:white,0
1786509461.6827722,16.95275592079825,0.0,217.66937661963334,0.0,1.0,0.11,avoid:white,0
1786509461.7415597,16.92747368707538,0.0,217.39908966930773,0.0,1.0,0.11,avoid:white,0
1786509461.8020365,16.87815926808121,0.0,217.52531387098145,0.0,1.0,0.11,avoid:white,0
1786509461.8611755,16.85345642013921,0.0,217.42174718907677,0.0,1.0,0.11,avoid:white,0
1786509461.9230158,16.82132097234946,0.0,217.55321204486813,0.0,1.0,0.11,avoid:white,0
1786509461.981515,16.773797672641166,0.0,217.3971454420747,0.0,1.0,0.11,avoid:white,0
1786509462.0455732,16.74219430569131,0.0,217.52060253696953,0.0,1.0,0.11,avoid:white,0
1786509462.110394,16.539097353590744,0.0,217.34619487908964,0.0,1.0,0.11,avoid:white,0
1786509462.1755102,16.369691708774962,0.0,217.5366354060193,0.0,1.0,0.11,avoid:white,0
1786509462.2346783,16.172993636381513,0.0,217.54787843041998,0.0,1.0,0.11,avoid:white,0
1786509462.2957911,16.293346600568402,0.0,217.4499089962788,0.0,1.0,0.11,avoid:white,0
1786509462.3605123,16.301955185138283,0.0,217.49206896735757,0.0,1.0,0.11,avoid:white,0
1786509462.4213452,16.129107328547917,0.0,217.50296304500398,0.0,1.0,0.11,avoid:white,0
1786509462.4815767,16.213153996375112,0.0,217.23180406139312,0.0,1.0,0.11,avoid:white,0
1786509462.5408666,16.295564155369355,0.0,217.6456782644202,0.0,1.0,0.11,avoid:white,0
1786509462.6032956,16.41618045251054,0.0,217.33441912708645,0.0,1.0,0.11,avoid:white,0
1786509462.6640117,16.335854654423926,0.0,217.38300142247505,0.0,1.0,0.11,avoid:white,0
1786509462.7232983,16.357649727713056,0.0,217.52790906834542,0.0,1.0,0.11,avoid:white,0
1786509462.7834494,16.456001845390603,0.0,217.35728991804092,0.0,1.0,0.11,avoid:white,0
1786509462.8436542,16.472055458370782,0.0,217.2907197737029,0.0,1.0,0.11,avoid:white,0
1786509462.9033072,16.494305067805414,0.0,217.18220958689523,0.0,1.0,0.11,avoid:white,0
1786509462.9630494,16.554351662256828,0.0,217.50699161193376,0.0,1.0,0.11,avoid:white,0
1786509463.0237172,16.60477937435873,0.0,217.61259771176316,0.0,1.0,0.11,avoid:white,0
1786509463.0839808,16.573243135522695,0.0,217.51374503267954,0.0,1.0,0.11,avoid:white,0
1786509463.1429331,16.57382628944506,0.0,217.49725079330318,0.0,1.0,0.11,avoid:white,0
1786509463.2013905,16.65389137711093,0.0,217.5411423569317,0.0,1.0,0.11,avoid:white,0
1786509463.2618701,16.75929490719129,0.0,217.5460676436286,0.0,1.0,0.11,avoid:white,0
1786509463.321987,16.7091703400482,0.0,217.56867378882777,0.0,1.0,0.11,avoid:white,0
1786509463.3838573,16.68973045638321,0.0,217.66151831203177,0.0,1.0,0.11,avoid:white,0
1786509463.443851,16.5805730717964,0.0,217.44689003706958,0.0,1.0,0.11,avoid:white,0
1786509463.5068533,16.609202552484653,0.0,217.57117045948883,0.0,1.0,0.11,avoid:white,0
